original_corpus,n_utterances_total,n_utterances_age_usable,n_utterances_age_le_96,n_utterances_age_gt_96,n_utterances_age_missing_or_invalid,exact_archive_ids,leaf_archive_ids,mapping_status,candidate_archive_count,candidate_archive_ids,represented_in_current_manifest,mapping_ambiguous
Avram,12294,12294,12294,0,0,,,not_represented,0,,False,False
Beijing,3465,3386,3386,0,79,,,not_represented,0,,False,False
BermanLong,16853,16853,16853,0,0,,,not_represented,0,,False,False
CHCC,68363,67601,67601,0,762,,,not_represented,0,,False,False
CUHK,957,810,810,0,147,,,not_represented,0,,False,False
DeHouwerBornstein,111,0,0,0,111,,,not_represented,0,,False,False
Deuchar,6267,6267,6267,0,0,,,not_represented,0,,False,False
English-ECSC,1561,0,0,0,1561,,,not_represented,0,,False,False
English-WolfHemp,2891,2727,1802,925,164,,,not_represented,0,,False,False
GNP,16849,16849,16849,0,0,,,not_represented,0,,False,False
Goga,180,86,86,0,94,,,not_represented,0,,False,False
Gopnik,6387,4968,4968,0,1419,,,not_represented,0,,False,False
Hacohen,3004,3004,3004,0,0,,,not_represented,0,,False,False
Hicks,5281,5281,4811,470,0,,,not_represented,0,,False,False
JacksonThal,10498,10479,10479,0,19,,,not_represented,0,,False,False
Jakarta,305480,305480,296751,8729,0,,,not_represented,0,,False,False
Jordina,1597,1597,1252,345,0,,,not_represented,0,,False,False
Kari,45575,45575,45575,0,0,,,not_represented,0,,False,False
Korman,13699,0,0,0,13699,,,not_represented,0,,False,False
LabLing,9863,8920,8920,0,943,,,not_represented,0,,False,False
LeNormand,82,82,82,0,0,,,not_represented,0,,False,False
Leo,38646,38646,38646,0,0,,,not_represented,0,,False,False
Lyon,5885,5885,5885,0,0,,,not_represented,0,,False,False
MOC,62413,62413,62413,0,0,,,not_represented,0,,False,False
MacBates2,68,0,0,0,68,,,not_represented,0,,False,False
Menn,2763,2763,2763,0,0,,,not_represented,0,,False,False
MiiPro,16372,16372,16372,0,0,,,not_represented,0,,False,False
Palasis,23089,0,0,0,23089,,,not_represented,0,,False,False
Paradis,58120,58120,53803,4317,0,,,not_represented,0,,False,False
Penney,944,944,944,0,0,,,not_represented,0,,False,False
Perez,64,64,64,0,0,,,not_represented,0,,False,False
PetersonMcCabe,7302,7219,5721,1498,83,,,not_represented,0,,False,False
Plunkett,15585,15585,15585,0,0,,,not_represented,0,,False,False
PraisleyRose,1554,0,0,0,1554,,,not_represented,0,,False,False
ProjectS,31811,31811,31811,0,0,,,not_represented,0,,False,False
Providence,285444,285444,285444,0,0,,,not_represented,0,,False,False
Rigol,115771,115771,115771,0,0,,,not_represented,0,,False,False
SerraSole,3212,3212,3212,0,0,,,not_represented,0,,False,False
Singapore,1977,0,0,0,1977,,,not_represented,0,,False,False
Soto,1440,1440,1440,0,0,,,not_represented,0,,False,False
Stephany,6766,6766,6766,0,0,,,not_represented,0,,False,False
TorringtonEaton,5609,5609,5609,0,0,,,not_represented,0,,False,False
YipMatthews,219195,219195,219195,0,0,,,not_represented,0,,False,False
