collection,corpus,transcript,original_transcript_id,status,unique_matching_utterances,runner_up_matches,total_matching_utterances,original_target_child,original_age_months,original_n_utterances,chat_target_child,chat_age_months,original_id_used_by_multiple_current_transcripts,original_age_raw,original_metadata_join,current_age_raw,current_age_status,parse_status,current_metadata_join,current_age_months,original_age_usable,current_age_usable,age_combination,absolute_age_difference_months,age_conflict_gt_0_1_month
Clinical-Eng,Ambrose/HL,Ambrose/HL/13/51SA_14.cha,34396,high_confidence_text_match,19,0,19,NA,14.0002874802357,102,CHI,14.0,False,14.0002874802357,both,14.0,valid,parsed,both,14.0,True,True,both_usable,0.0002874802357002437,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/13/52CC_13.cha,34397,high_confidence_text_match,8,0,8,NA,13.0002669459332,401,CHI,13.0,False,13.0002669459332,both,13.0,valid,parsed,both,13.0,True,True,both_usable,0.0002669459332000912,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/13/58LL_13.cha,34399,high_confidence_text_match,26,0,26,NA,13.1973962504364,551,CHI,13.2,False,13.1973962504364,both,13.2,valid,parsed,both,13.2,True,True,both_usable,0.0026037495635993224,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/13/60CS_13.cha,34400,high_confidence_text_match,23,0,23,NA,13.5916548594427,383,CHI,13.6,False,13.5916548594427,both,13.6,valid,parsed,both,13.6,True,True,both_usable,0.008345140557299402,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/13/61MC_15.cha,34401,high_confidence_text_match,7,0,7,NA,13.0002669459332,181,CHI,13.0,False,13.0002669459332,both,13.0,valid,parsed,both,13.0,True,True,both_usable,0.0002669459332000912,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/13/66JP_13.cha,34402,high_confidence_text_match,67,0,67,NA,13.4602353231073,358,CHI,13.466666666666667,False,13.4602353231073,both,13.466666666666667,valid,parsed,both,13.466666666666667,True,True,both_usable,0.006431343559366809,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/13/70JW_13.cha,34403,high_confidence_text_match,16,0,16,NA,13.0002669459332,305,CHI,13.0,False,13.0002669459332,both,13.0,valid,parsed,both,13.0,True,True,both_usable,0.0002669459332000912,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/13/74LA_13.cha,34404,high_confidence_text_match,45,0,45,NA,13.0002669459332,484,CHI,13.0,False,13.0002669459332,both,13.0,valid,parsed,both,13.0,True,True,both_usable,0.0002669459332000912,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/13/76AM_13.cha,34405,high_confidence_text_match,17,0,17,NA,13.0002669459332,332,CHI,13.0,False,13.0002669459332,both,13.0,valid,parsed,both,13.0,True,True,both_usable,0.0002669459332000912,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/13/80LA_14.cha,34406,high_confidence_text_match,29,0,29,NA,14.0002874802357,415,CHI,14.0,False,14.0002874802357,both,14.0,valid,parsed,both,14.0,True,True,both_usable,0.0002874802357002437,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/13/81QF_14.cha,34407,high_confidence_text_match,56,0,56,NA,14.0002874802357,513,CHI,14.0,False,14.0002874802357,both,14.0,valid,parsed,both,14.0,True,True,both_usable,0.0002874802357002437,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/13/83DR_13.cha,34408,high_confidence_text_match,71,0,71,NA,13.0002669459332,491,CHI,13.0,False,13.0002669459332,both,13.0,valid,parsed,both,13.0,True,True,both_usable,0.0002669459332000912,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/13/85KB_14.cha,34409,high_confidence_text_match,20,0,20,NA,13.0002669459332,608,CHI,13.0,False,13.0002669459332,both,13.0,valid,parsed,both,13.0,True,True,both_usable,0.0002669459332000912,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/13/86LS_14.cha,34411,high_confidence_text_match,55,0,55,NA,13.0002669459332,555,CHI,13.0,False,13.0002669459332,both,13.0,valid,parsed,both,13.0,True,True,both_usable,0.0002669459332000912,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/13/87FB_14.cha,34410,high_confidence_text_match,19,0,19,NA,14.0002874802357,421,CHI,14.0,False,14.0002874802357,both,14.0,valid,parsed,both,14.0,True,True,both_usable,0.0002874802357002437,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/13/89CH_14.cha,34413,high_confidence_text_match,25,0,25,NA,14.0002874802357,321,CHI,14.0,False,14.0002874802357,both,14.0,valid,parsed,both,14.0,True,True,both_usable,0.0002874802357002437,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/13/90BM_14.cha,34412,high_confidence_text_match,15,0,15,NA,13.0002669459332,523,CHI,13.0,False,13.0002669459332,both,13.0,valid,parsed,both,13.0,True,True,both_usable,0.0002669459332000912,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/13/CP22_14.cha,34414,high_confidence_text_match,16,0,16,NA,14.0002874802357,281,CHI,14.0,False,14.0002874802357,both,14.0,valid,parsed,both,14.0,True,True,both_usable,0.0002874802357002437,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/13/JW36_14.cha,34415,high_confidence_text_match,5,0,5,NA,14.0002874802357,321,CHI,14.0,False,14.0002874802357,both,14.0,valid,parsed,both,14.0,True,True,both_usable,0.0002874802357002437,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/13/LR24_14.cha,34416,high_confidence_text_match,22,0,22,NA,14.0002874802357,399,CHI,14.0,False,14.0002874802357,both,14.0,valid,parsed,both,14.0,True,True,both_usable,0.0002874802357002437,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/18/51SA_18.cha,34417,high_confidence_text_match,16,0,16,NA,18.0003696174459,178,CHI,18.0,False,18.0003696174459,both,18.0,valid,parsed,both,18.0,True,True,both_usable,0.0003696174459015822,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/18/52CC_18.cha,34418,high_confidence_text_match,7,0,7,NA,18.0003696174459,317,CHI,18.0,False,18.0003696174459,both,18.0,valid,parsed,both,18.0,True,True,both_usable,0.0003696174459015822,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/18/57ZK_18.cha,34419,high_confidence_text_match,8,0,8,NA,18.0003696174459,293,CHI,18.0,False,18.0003696174459,both,18.0,valid,parsed,both,18.0,True,True,both_usable,0.0003696174459015822,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/18/58LL_18.cha,34420,high_confidence_text_match,16,0,16,NA,18.0003696174459,484,CHI,18.0,False,18.0003696174459,both,18.0,valid,parsed,both,18.0,True,True,both_usable,0.0003696174459015822,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/18/60CS_18.cha,34421,high_confidence_text_match,35,0,35,NA,18.0003696174459,507,CHI,18.0,False,18.0003696174459,both,18.0,valid,parsed,both,18.0,True,True,both_usable,0.0003696174459015822,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/18/61MC_18.cha,34422,high_confidence_text_match,10,0,10,NA,18.0003696174459,236,CHI,18.0,False,18.0003696174459,both,18.0,valid,parsed,both,18.0,True,True,both_usable,0.0003696174459015822,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/18/66JP_18.cha,34423,high_confidence_text_match,52,0,52,NA,18.0003696174459,471,CHI,18.0,False,18.0003696174459,both,18.0,valid,parsed,both,18.0,True,True,both_usable,0.0003696174459015822,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/18/70JW_18.cha,34424,high_confidence_text_match,14,1,15,NA,18.0003696174459,336,CHI,18.0,False,18.0003696174459,both,18.0,valid,parsed,both,18.0,True,True,both_usable,0.0003696174459015822,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/18/74LA_18.cha,34425,high_confidence_text_match,65,0,65,NA,18.0003696174459,463,CHI,18.0,False,18.0003696174459,both,18.0,valid,parsed,both,18.0,True,True,both_usable,0.0003696174459015822,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/18/76AM_18.cha,34426,high_confidence_text_match,27,0,27,NA,18.0003696174459,302,CHI,18.0,False,18.0003696174459,both,18.0,valid,parsed,both,18.0,True,True,both_usable,0.0003696174459015822,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/18/80LA_18.cha,34427,high_confidence_text_match,20,1,21,NA,18.0003696174459,344,CHI,18.0,False,18.0003696174459,both,18.0,valid,parsed,both,18.0,True,True,both_usable,0.0003696174459015822,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/18/81QF_18.cha,34428,high_confidence_text_match,64,0,64,NA,18.0003696174459,533,CHI,18.0,False,18.0003696174459,both,18.0,valid,parsed,both,18.0,True,True,both_usable,0.0003696174459015822,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/18/82NE_18.cha,34429,high_confidence_text_match,51,0,51,NA,18.0003696174459,393,CHI,18.0,False,18.0003696174459,both,18.0,valid,parsed,both,18.0,True,True,both_usable,0.0003696174459015822,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/18/83DR_18.cha,34430,high_confidence_text_match,56,0,56,NA,18.0003696174459,535,CHI,18.0,False,18.0003696174459,both,18.0,valid,parsed,both,18.0,True,True,both_usable,0.0003696174459015822,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/18/85KB_18.cha,34431,high_confidence_text_match,34,0,34,NA,18.0003696174459,618,CHI,18.0,False,18.0003696174459,both,18.0,valid,parsed,both,18.0,True,True,both_usable,0.0003696174459015822,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/18/86LS_18.cha,34433,high_confidence_text_match,50,0,50,NA,18.0003696174459,614,CHI,18.0,False,18.0003696174459,both,18.0,valid,parsed,both,18.0,True,True,both_usable,0.0003696174459015822,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/18/87FB_18.cha,34434,high_confidence_text_match,40,0,40,NA,18.0003696174459,542,CHI,18.0,False,18.0003696174459,both,18.0,valid,parsed,both,18.0,True,True,both_usable,0.0003696174459015822,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/18/89CH_18.cha,34432,high_confidence_text_match,24,0,24,NA,18.0003696174459,340,CHI,18.0,False,18.0003696174459,both,18.0,valid,parsed,both,18.0,True,True,both_usable,0.0003696174459015822,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/18/90BM_18.cha,34435,high_confidence_text_match,47,0,47,NA,18.0003696174459,643,CHI,18.0,False,18.0003696174459,both,18.0,valid,parsed,both,18.0,True,True,both_usable,0.0003696174459015822,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/18/CP22_18.cha,34436,high_confidence_text_match,29,0,29,NA,18.0003696174459,353,CHI,18.0,False,18.0003696174459,both,18.0,valid,parsed,both,18.0,True,True,both_usable,0.0003696174459015822,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/18/JW36_18.cha,34437,high_confidence_text_match,7,0,7,NA,18.0003696174459,371,CHI,18.0,False,18.0003696174459,both,18.0,valid,parsed,both,18.0,True,True,both_usable,0.0003696174459015822,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/18/LR24_18.cha,34438,high_confidence_text_match,6,0,6,NA,18.0003696174459,322,CHI,18.0,False,18.0003696174459,both,18.0,valid,parsed,both,18.0,True,True,both_usable,0.0003696174459015822,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/22/52CC_22.cha,34439,high_confidence_text_match,13,0,13,NA,22.0004517546562,409,CHI,22.0,False,22.0004517546562,both,22.0,valid,parsed,both,22.0,True,True,both_usable,0.0004517546562006203,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/22/57ZK_22.cha,34440,high_confidence_text_match,13,0,13,NA,22.0004517546562,337,CHI,22.0,False,22.0004517546562,both,22.0,valid,parsed,both,22.0,True,True,both_usable,0.0004517546562006203,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/22/58LL_22.cha,34441,high_confidence_text_match,22,0,22,NA,22.6904043204173,597,CHI,22.7,False,22.6904043204173,both,22.7,valid,parsed,both,22.7,True,True,both_usable,0.00959567958269858,False
Clinical-Eng,Ambrose/HL,Ambrose/HL/22/60CS_22.cha,34442,high_confidence_text_match,44,0,44,NA,22.0004517546562,593,CHI,22.0,False,22.0004517546562,both,22.0,valid,parsed,both,22.0,True,True,both_usable,0.0004517546562006203,False
